Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,RandomSequentialCyclic,SequentialCyclic,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
p1,1.349,0.837,0.9796,0.8925,4.1164,0.8055,0.8317,0.837,1.0591,0.9895,0.837,11.154,3.5888,2.9525,0.837,0.837,0.8224,0.8308
p2,1.349,0.837,0.9474,0.8925,4.1164,0.8055,0.8317,0.837,1.0591,0.9895,0.837,12.319,2.5927,2.9525,0.837,0.837,0.8224,0.8308
p3,1.469,0.8203,1.0189,0.9382,1.7975,0.8376,0.8329,0.8203,1.2867,0.9968,0.8203,15.1858,4.8067,2.3,0.8203,0.8203,0.9266,0.8347
p4,1.47,1.1256,1.6052,1.1585,2.4243,1.1248,1.1249,1.1256,1.1614,1.0941,1.1256,18.5063,4.0319,5.2234,1.1256,1.1256,1.1021,1.2693
p5,1.1537,1.189,1.302,1.412,1.4579,1.0879,1.177,1.189,1.2295,1.1734,1.189,10.4605,1.7137,1.7936,1.189,1.189,1.1888,1.1242
p6,1.5666,0.8293,1.1312,1.1805,2.5049,0.9431,0.8309,0.8293,0.985,0.8882,0.8293,18.3689,2.9193,3.923,0.8293,0.8293,1.0526,0.871
p7,1.8256,0.9621,2.1083,3.1422,1.4707,0.8046,0.9261,0.9708,1.1209,1.0939,0.9708,25.8681,3.0222,2.7444,0.9621,0.9657,0.8762,0.961
p8,1.3181,1.1967,1.3786,1.2314,2.5269,1.2075,1.168,1.1967,1.2044,1.3004,1.1967,26.53,2.0718,1.2891,1.1967,1.1967,1.1957,1.1714
p9,1.6851,0.8454,0.9065,1.0857,1.2559,0.8108,0.8346,0.8454,0.9364,1.441,0.8454,41.7446,1.682,3.5649,0.8454,0.8454,0.8901,0.8837
p10,1.2885,0.8928,1.0452,1.0105,3.8165,0.7853,0.874,0.8928,0.9393,0.9968,0.8928,27.6598,3.7305,8.5043,0.8928,0.8928,0.7894,0.931
p11,1.8301,0.9193,1.3466,2.0022,1.9274,0.8452,0.9053,0.8987,1.049,1.0399,0.8987,27.0778,2.7142,2.7852,0.8982,0.8951,0.8681,0.912
p12,0.7042,0.6584,2.6266,5.5179,1.0108,2.4389,0.6584,0.6584,0.6584,0.6613,0.6584,15.7142,1.7852,2.6945,0.6584,0.6584,0.6584,0.5317
p15,1.6368,0.6584,0.7091,3.5855,1.6953,0.6584,0.6584,0.6584,0.6584,0.6897,0.6584,21.5199,2.8094,17.8678,0.6584,0.6584,0.6584,0.5548
p18,1.6446,0.6584,0.9785,2.1711,1.817,0.6584,0.6773,0.6584,0.6584,0.6827,0.6584,36.6819,4.9493,2.1028,0.6584,0.6584,0.6584,0.5553
p21,1.5077,0.6584,1.59,2.1843,2.7238,0.6686,0.6773,0.6584,0.6584,0.6989,0.6584,33.9793,2.7959,6.2999,0.6584,0.6584,0.6584,0.5556
pr1,1.2307,0.9202,1.9984,1.0241,2.6104,1.0043,0.812,0.9202,1.5753,0.9639,0.9202,14.614,2.6671,9.3657,0.9202,0.9202,0.9406,0.9757
pr2,1.2789,1.2015,1.4613,1.0058,13.6284,0.9102,1.0278,1.1066,1.4821,1.4914,1.1066,14.6606,2.7539,1.6463,1.0099,0.9993,0.9577,2.901
pr3,0.8721,0.8241,1.2263,0.8365,2.1948,0.7851,0.7786,0.8241,0.9994,2.6109,0.8241,21.8657,2.404,2.3973,0.8241,0.8241,0.776,0.8475
pr4,2.9528,0.8851,1.8402,2.3851,2.0095,1.0101,0.8756,0.9171,1.0109,1.1167,0.9171,23.4612,3.5691,3.0472,0.9068,0.9068,0.959,0.9346
pr5,2.1874,1.6702,2.6262,1.5344,2.8851,1.0279,1.222,1.2804,1.5637,4.6958,1.2804,29.3145,5.7638,3.6024,1.0642,1.0525,0.9701,2.5598
pr6,9.7528,0.9121,1.6283,1.059,2.3018,0.8248,0.8526,0.8695,0.9408,2.03,0.8695,25.29,3.4557,2.6837,0.8208,0.8102,0.8012,1.2314
pr7,1.678,0.9034,1.1566,1.4723,8.0067,0.8527,0.9051,0.9048,1.8734,0.8417,0.9048,36.5962,2.3282,2.1117,0.789,0.7964,0.7382,0.8989
pr8,6.8565,1.0875,1.6129,1.5873,3.3303,1.0937,1.0094,1.1743,1.2385,3.1015,1.1743,19.2223,3.3918,1.9122,1.1006,1.1429,0.87,1.5412
pr9,1.6611,1.0278,1.7536,2.5798,4.2719,0.9759,0.9909,0.9876,1.2701,1.6568,0.9876,27.4963,3.6994,8.1173,0.9526,0.9589,0.9311,1.3017
pr10,3.505,1.9218,2.6632,2.2246,2.3234,1.004,1.7664,1.2278,1.8809,3.6345,1.2278,31.9259,5.2468,5.625,1.2637,1.1847,1.4125,3.0311
